total_iter,weights_sum,is_sat_clauses
1030,15483,71
1031,15483,71
1032,15483,71
1033,15483,71
1034,15483,71
1035,15483,71
1036,15483,71
1037,15483,71
1038,15483,71
1039,15483,71
1040,15483,71
1041,15483,71
1042,15483,71
1043,15483,71
1044,15483,71
1045,15483,71
1046,15483,71
1047,15483,71
1048,15483,71
1049,15483,71
1050,15483,71
1051,15483,71
1052,15483,71
1053,15483,71
1054,15483,71
1055,15483,71
1056,15483,71
1057,15483,71
1058,15483,71
1059,15483,71
1060,15483,71
1061,15483,71
1062,15483,71
1063,15483,71
1064,15483,71
1065,15483,71
1066,15483,71
1067,15483,71
1068,15483,71
1069,15483,71
1070,15483,71
1071,15483,71
1072,15483,71
1073,15483,71
1074,15483,71
1075,15483,71
1076,15483,71
1077,15483,71
1078,15483,71
1079,15483,71
1080,15483,71
1081,15483,71
1082,15483,71
1083,15483,71
1084,15483,71
1085,15483,71
1086,15483,71
1087,15483,71
1088,15483,71
1089,15483,71
1090,15483,71
1091,15483,71
1092,15483,71
1093,15483,71
1094,15483,71
1095,15483,71
1096,15483,71
1097,15483,71
1098,15483,71
1099,15483,71
1100,15483,71
1101,15483,71
1102,15483,71
1103,15483,71
1104,15483,71
1105,15483,71
1106,15483,71
1107,15483,71
1108,15483,71
1109,15483,71
1110,15483,71
1111,15483,71
1112,15483,71
1113,15483,71
1114,15483,71
1115,15483,71
1116,15483,71
1117,15483,71
1118,15483,71
1119,15483,71
1120,15483,71
1121,15483,71
1122,15483,71
1123,15483,71
1124,15483,71
1125,15483,71
1126,15483,71
1127,15483,71
1128,15483,71
1129,15483,71
1130,15483,71
1131,15483,71
1132,15483,71
1133,15483,71
1134,15483,71
1135,15483,71
1136,15483,71
1137,15483,71
1138,15483,71
1139,15483,71
1140,15483,71
1141,15483,71
1142,15483,71
1143,15483,71
1144,15483,71
1145,15483,71
1146,15483,71
1147,15483,71
1148,15483,71
1149,15483,71
1150,15483,71
1151,15483,71
1152,15483,71
1153,15483,71
1154,15483,71
1155,15483,71
1156,15483,71
1157,15483,71
1158,15483,71
1159,15483,71
1160,15483,71
1161,15483,71
1162,15483,71
1163,15483,71
1164,15483,71
1165,15483,71
1166,15483,71
1167,15483,71
1168,15483,71
1169,15483,71
1170,15483,71
1171,15483,71
1172,15483,71
1173,15483,71
1174,15483,71
1175,15483,71
1176,15483,71
1177,15483,71
1178,15483,71
1179,15483,71
1180,15483,71
1181,15483,71
1182,15483,71
1183,15483,71
1184,15483,71
1185,15483,71
1186,15483,71
1187,15483,71
1188,15483,71
1189,15483,71
1190,15483,71
1191,15483,71
1192,15483,71
1193,15483,71
1194,15483,71
1195,15483,71
1196,15483,71
1197,15483,71
1198,15483,71
1199,15483,71
1200,15483,71
1201,15483,71
1202,15483,71
1203,15483,71
1204,15483,71
1205,15483,71
1206,15483,71
1207,15483,71
1208,15483,71
1209,15483,71
1210,15483,71
1211,15483,71
1212,15483,71
1213,15483,71
1214,15483,71
1215,15483,71
1216,15483,71
1217,15483,71
1218,15483,71
1219,15483,71
1220,15483,71
1221,15483,71
1222,15483,71
1223,15483,71
1224,15483,71
1225,15483,71
1226,15483,71
1227,15483,71
1228,15483,71
1229,15483,71
1230,15483,71
1231,15483,71
1232,15483,71
1233,15483,71
1234,15483,71
1235,15483,71
1236,15483,71
1237,15483,71
1238,15483,71
1239,15483,71
1240,15483,71
1241,15483,71
1242,15483,71
1243,15483,71
1244,15483,71
1245,15483,71
1246,15483,71
1247,15483,71
1248,15483,71
1249,15483,71
1250,15483,71
1251,15483,71
1252,15483,71
1253,15483,71
1254,15483,71
1255,15483,71
1256,15483,71
1257,15483,71
1258,15483,71
1259,15483,71
1260,15483,71
1261,15483,71
1262,15483,71
1263,15483,71
1264,15483,71
1265,15483,71
1266,15483,71
1267,15483,71
1268,15483,71
1269,15483,71
1270,15483,71
1271,15483,71
1272,15483,71
1273,15483,71
1274,15483,71
1275,15483,71
1276,15483,71
1277,15483,71
1278,15483,71
1279,15483,71
1280,15483,71
1281,15483,71
1282,15483,71
1283,15483,71
1284,15483,71
1285,15483,71
1286,15483,71
1287,15483,71
1288,15483,71
1289,15483,71
1290,15483,71
1291,15483,71
1292,15483,71
1293,15483,71
1294,15483,71
1295,15483,71
1296,15483,71
1297,15483,71
1298,15483,71
1299,15483,71
1300,15483,71
1301,15483,71
1302,15483,71
1303,15483,71
1304,15483,71
1305,15483,71
1306,15483,71
1307,15483,71
1308,15483,71
1309,15483,71
1310,15483,71
1311,15483,71
1312,15483,71
1313,15483,71
1314,15483,71
1315,15483,71
1316,15483,71
1317,15483,71
1318,15483,71
1319,15483,71
1320,15483,71
1321,15483,71
1322,15483,71
1323,15483,71
1324,15483,71
1325,15483,71
1326,15483,71
1327,15483,71
1328,15483,71
1329,15483,71
1330,15483,71
1331,15483,71
1332,15483,71
1333,15483,71
1334,15483,71
1335,15483,71
1336,15483,71
1337,15483,71
1338,15483,71
1339,15483,71
1340,15483,71
1341,15483,71
1342,15483,71
1343,15483,71
1344,15483,71
1345,15483,71
1346,15483,71
1347,15483,71
1348,15483,71
1349,15483,71
1350,15483,71
1351,15483,71
1352,15483,71
1353,15483,71
1354,15483,71
1355,15483,71
1356,15483,71
1357,15483,71
