total_iter,weights_sum,is_sat_clauses
742,14941,71
743,14941,71
744,14941,71
745,14941,71
746,14941,71
747,14941,71
748,14941,71
749,14941,71
750,14941,71
751,14941,71
752,14941,71
753,14941,71
754,14941,71
755,14941,71
756,14941,71
757,14941,71
758,14941,71
759,14941,71
760,14941,71
761,14941,71
762,14941,71
763,14941,71
764,14941,71
765,14941,71
766,14941,71
767,14941,71
768,14941,71
769,14941,71
770,14941,71
771,14941,71
772,14941,71
773,14941,71
774,14941,71
775,14941,71
776,14941,71
777,14941,71
778,14941,71
779,14941,71
780,14941,71
781,14941,71
782,14941,71
783,14941,71
784,14941,71
785,14941,71
786,14941,71
787,14941,71
788,14941,71
789,14941,71
790,14941,71
791,14941,71
792,14941,71
793,14941,71
794,14941,71
795,14941,71
796,14941,71
797,14941,71
798,14941,71
799,14941,71
800,14941,71
801,14941,71
802,14941,71
803,14941,71
804,14941,71
805,14941,71
806,14941,71
807,14941,71
808,14941,71
809,14941,71
810,14941,71
811,14941,71
812,14941,71
813,14941,71
814,14941,71
815,14941,71
816,14941,71
817,14941,71
818,14941,71
819,14941,71
820,14941,71
821,14941,71
822,14941,71
823,14941,71
824,14941,71
825,14941,71
826,14941,71
827,14941,71
828,14941,71
829,14941,71
830,14941,71
831,14941,71
832,14941,71
833,14941,71
834,14941,71
835,14941,71
836,14941,71
837,14941,71
838,14941,71
839,14941,71
840,14941,71
841,14941,71
842,14941,71
843,14941,71
844,14941,71
845,14941,71
846,14941,71
847,14941,71
848,14941,71
849,14941,71
850,14941,71
851,14941,71
852,14941,71
853,14941,71
854,14941,71
855,14941,71
856,14941,71
857,14941,71
858,14941,71
859,14941,71
860,14941,71
861,14941,71
862,14941,71
863,14941,71
864,14941,71
865,14941,71
866,14941,71
867,14941,71
868,14941,71
869,14941,71
870,14941,71
871,14941,71
872,14941,71
873,14941,71
874,14941,71
875,14941,71
876,14941,71
877,14941,71
878,14941,71
879,14941,71
880,14941,71
881,14941,71
882,14941,71
883,14941,71
884,14941,71
885,14941,71
886,14941,71
887,14941,71
888,14941,71
889,14941,71
890,14941,71
891,14941,71
892,14941,71
