total_iter,weights_sum_best,is_sat_clauses_best,weights_sum_curr,is_sat_clauses_curr,opt,rel_err_weights_best,rel_err_weights_curr,rel_err_clauses_best,rel_err_clauses_curr
42,5767,195,11225,194,20150,0.7137965260545905,0.44292803970223327,0.10550458715596331,0.11009174311926606
43,12134,195,12134,195,20150,0.3978163771712159,0.3978163771712159,0.10550458715596331,0.10550458715596331
44,12134,195,12133,192,20150,0.3978163771712159,0.39786600496277913,0.10550458715596331,0.11926605504587157
45,12134,195,12133,192,20150,0.3978163771712159,0.39786600496277913,0.10550458715596331,0.11926605504587157
46,12134,195,13042,193,20150,0.3978163771712159,0.3527543424317618,0.10550458715596331,0.11467889908256881
47,13951,197,13951,197,20150,0.3076426799007444,0.3076426799007444,0.0963302752293578,0.0963302752293578
48,13950,199,13950,199,20150,0.3076923076923077,0.3076923076923077,0.0871559633027523,0.0871559633027523
49,13950,199,13495,199,20150,0.3076923076923077,0.33027295285359803,0.0871559633027523,0.0871559633027523
50,13950,199,13495,199,20150,0.3076923076923077,0.33027295285359803,0.0871559633027523,0.0871559633027523
51,13950,199,13950,199,20150,0.3076923076923077,0.3076923076923077,0.0871559633027523,0.0871559633027523
52,14859,199,14859,199,20150,0.2625806451612903,0.2625806451612903,0.0871559633027523,0.0871559633027523
53,14860,199,14860,199,20150,0.26253101736972706,0.26253101736972706,0.0871559633027523,0.0871559633027523
54,14860,199,14860,199,20150,0.26253101736972706,0.26253101736972706,0.0871559633027523,0.0871559633027523
55,15769,203,15769,203,20150,0.21741935483870967,0.21741935483870967,0.06880733944954129,0.06880733944954129
56,15769,203,15770,202,20150,0.21741935483870967,0.2173697270471464,0.06880733944954129,0.07339449541284404
57,15769,204,15769,204,20150,0.21741935483870967,0.21741935483870967,0.06422018348623854,0.06422018348623854
58,15769,204,15769,204,20150,0.21741935483870967,0.21741935483870967,0.06422018348623854,0.06422018348623854
59,15770,204,15770,204,20150,0.2173697270471464,0.2173697270471464,0.06422018348623854,0.06422018348623854
