inst,succ,steps,max_iter,awg fined,mu,sig^2
ruf20-600,1000.0,48.703,,48.703,3.409330770420828,0.8810341256253477
ruf20-763,1000.0,57.258,,57.258,3.630844271094838,0.918242543593971
ruf20-404,1000.0,152.642,,152.642,4.443406682224852,1.3689763711211351
ruf20-970,1000.0,68.309,,68.309,3.7712510410450983,0.9373591113787679
ruf20-347,1000.0,339.426,,339.426,5.115174323120448,1.8348591782647201
ruf20-762,1000.0,25.383,,25.383,2.8355732798448603,0.682638933043597
ruf20-380,1000.0,35.894,,35.894,3.261602101343054,0.6656406252092174
ruf20-690,1000.0,36.505,,36.505,3.246501092033337,0.6743909122285654
ruf20-784,1000.0,252.538,,252.538,4.8795469649709755,1.708074749463674
ruf20-851,1000.0,83.314,,83.314,3.9453065708340413,1.0926429291871937
ruf20-112,1000.0,60.575,,60.575,3.6931271986662355,0.884807999784806
ruf20-80,976.0,671.881,,1319.881,5.6925400254716285,2.2733270929309124
ruf20-965,1000.0,42.142,,42.142,3.407338079378281,0.6970656594580243
ruf20-756,1000.0,82.439,,82.439,3.8707319804398574,1.2044355787230687
ruf20-318,1000.0,26.617,,26.617,3.003867062885343,0.569267209081738
ruf20-173,1000.0,78.872,,78.872,3.8825851392643913,0.9999901306498037
ruf20-38,1000.0,101.903,,101.903,4.166340138498111,0.9793778419664416
ruf20-739,1000.0,164.443,,164.443,4.333653129983427,1.7119096777648823
ruf20-797,1000.0,114.325,,114.325,4.15448196904665,1.2735487858554289
ruf20-170,1000.0,294.545,,294.545,4.76813457224604,2.186312218286704
ruf20-154,1000.0,48.129,,48.129,3.474181851464668,0.8110633647922798
ruf20-930,1000.0,125.331,,125.331,4.29426696576444,1.200965274251473
ruf20-862,1000.0,30.589,,30.589,3.0437924404073247,0.7393246541873303
ruf20-422,1000.0,34.864,,34.864,3.229260519729771,0.640231153755985
ruf20-145,1000.0,155.0,,155.0,4.471609463233916,1.3497610838221556
ruf20-217,1000.0,102.001,,102.001,4.205505012113479,0.9146484709097905
ruf20-275,1000.0,109.507,,109.507,4.1398208600998965,1.2315131491136888
ruf20-236,1000.0,78.955,,78.955,3.6537916104989607,1.4523142369919746
ruf20-335,1000.0,29.324,,29.324,3.0995068049205856,0.5519035429719974
ruf20-719,1000.0,76.709,,76.709,3.8534921144773358,1.008973722796502
ruf20-144,1000.0,200.113,,200.113,4.569506240637115,1.8041143912403612
